type,sku,name,description,short_description,regular_price,sale_price,sale_start_date,sale_end_date,manage_stock,stock_quantity,stock_status,status,category_1,include_hierarchy_1,category_2,category_3,image_1,image_2,image_3,attr_name_1,attr_value_1,attr_name_2,attr_value_2,attr_name_3,attr_value_3,weight,length,width,height,
variable,HDY-BASE,Premium Hoodie,Our premium hoodie comes in various colors and sizes.,Soft cotton hoodie,49.99,,,,true,100,instock,publish,refrigerators,false,,,,,,Color,"Red,Blue,Green",Size,"S,M,L,XL",Material,Cotton,0.5,40,30,10,
variation,HDY-RED-S,,,,,45.99,,,true,25,instock,publish,,,,,,,,Color,Red,Size,S,,,0.45,38,28,8,
variation,HDY-RED-M,,,,,45.99,,,true,30,instock,publish,,,,,,,,Color,Red,Size,M,,,0.48,40,30,8,
variation,HDY-BLUE-M,,,,,47.99,,,true,20,instock,publish,,,,,,,,Color,Blue,Size,L,,,0.48,40,30,8,
variation,HDY-GREEN-L,,,,,49.99,,,true,15,instock,publish,,,,,,,,Color,Green,Size,XL,,,0.52,42,32,8,
variable,HDY-BASE-1,Premium Hoodie,Our premium hoodie comes in various colors and sizes.,Soft cotton hoodie,49.99,,,,true,100,instock,publish,refrigerators,false,,,,,,Color,"Red,Blue,Green",Size,"S,M,L,XL",Material,Cotton,0.5,40,30,10,
variation,HDY-RED-S-1,,,,,45.99,,,true,25,instock,publish,,,,,,,,Color,Red,Size,S,,,0.45,38,28,8,
variation,HDY-RED-M-1,,,,,45.99,,,true,30,instock,publish,,,,,,,,Color,Red,Size,M,,,0.48,40,30,8,
variation,HDY-BLUE-M-1,,,,,47.99,,,true,20,instock,publish,,,,,,,,Color,Blue,Size,L,,,0.48,40,30,8,
variation,HDY-GREEN-L-1,,,,,49.99,,,true,15,instock,publish,,,,,,,,Color,Green,Size,XL,,,0.52,42,32,8,
